
6月 21, 2018 19:05:41.96 [10956:7016:0621/190541.957:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:05:41.96 [10956:7016:0621/190541.957:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:05:41.96 [10956:7016:0621/190541.957:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:05:41.96 [10956:7016:0621/190541.957:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:05:41.96 [10956:7016:0621/190541.957:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:05:41.96 [10956:7016:0621/190541.957:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:05:41.96 [10956:7016:0621/190541.957:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:36.24 Unable to read VR Path Registry from C:\Users\Administrator\AppData\Local\openvr\openvrpaths.vrpath
6月 21, 2018 19:06:39.33 [3680:4708:0621/190639.332:ERROR:in_progress_cache_impl.cc(93)] Could not read download entries from file because there was a read failure.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.35 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.36 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.36 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
